id,text,polarization,language
hau_1c40ceef36fad59132cbdcd4e3e7ead2,@USER bana goyon bayan tankawa kasakasai a sm... amma na goyi bayan wannan zagin. tozarcin ma akan addinin ka... dole kasha na maguzawa da akusa mukema gabjeka zanyi,0,hau
ita_e87898075b379cd7bd927d75415c2479,"@USER Oh!!! Tutti uomini, giovani e belli pasciuti! Ma che  idioti gli italiani che parlano di immigrati e profughi! CLANDESTINI sono!",1,ita
nep_1f285c299dfe50268a433b196033225e,बेला बेला आवेशमा आएर युद्दको धङधङगी बाँकी रहेको आक्रोश देखाउने प्रचण्डले अवको सरकारी मोर्चालाई कसरी समाल्नेछन् हेर्न बाँकी नै रहेको छ।,1,nep
nep_f7a295adf5eb8f43529dfc3e4e3cd6e0,सहयोगि भावना भएका ब्यक्ति हेम दाजु,0,nep
tur_dd460b158797fec6ff360da2e8c28f5c,"Şu kadına alkolik dediniz, toplumda böyle insanlar olmasın dediniz, saçma ifşalardan bahsettiniz. Ulan kadın ülkenin sayılı iyi kalplilerinden biraz da bundan bahsedin.",1,tur
fas_948f2ccfe25f47141ca56d317c15a140,اعصابم خراب شده. دور میز با همکارا نشسته بودیم، یه زنه جوونی که استاد هارواده و همسرش شروع کردند به بحث کردن با ما که این وضعیت که استادا اجازه ندارند دانشجو و پستداکاشون رو دیت کنند خیلی بده و زیاده رویه 🤮💩💩هر چی توضیح دادم که خب بالانس قدرت بی‌نهایت یه طرفست تو آکادمیا و باعث کلی سواستفاده شده.,1,fas
spa_4d9a373e5043ed3e591702162155d377,"no falla, un ministro ppero es un ministro corrupto",1,spa
hau_22516647fc48d4bbf086c3c9264c72ad,"@USER ai kasan yadda akwai arna na amana, toh hakama akwai yan adawa na amana. garkon arzikiii 😁😁",0,hau
ita_2b8d1be42872bd7eb3ad89764b63ea25,"@USER #CancelCulture è già il #PoliticamenteCorretto di #Censura come il termine #Queer , così ""trendy"" &amp; ""cool"" tra le #QuoteRosa arcobaleno 🌈 dell'Intellighenzia da apericena solidale, e l'edulcorato anglofono di ""Frocia"". 😂 [URL]",1,ita
ita_17e2874983d045c2d98a71a2cc0f00ce,"@USER @USER Schifoso gruppo di esseri decerebrati uomini e donne, feccia della peggior specie come del resto lo è la religione che li rappresenta! Islam ed islamici incompatibili con il resto del mondo!",1,ita
ita_aa13c92700f352202fbb6a64fa5480d1,"Roma, incubo sassi vicino al campo rom sulla Pontina: danneggiate 15 auto - Il Messaggero @URL #Roma #news",1,ita
spa_185cd98ee866ad03caedf2c530965555,son un descaro los narcos que se meten a una secta evangelica para guardar el pisto que se roban,1,spa
amh_fa20721917299d81aca98cc49e0fc4c0,ሰይጣን ወንድ ነው ሴት? ብሎ ሰው እንዴት በፆታው ይከራከራል? ዲያቆን ዳንኤል ክብረትን እያየ?,1,amh
ita_0d15eb82f9c7e8b8fc0227cf3743854b,"Baranzate, campo nomadi ai raggi X:83 persone controllate, 67 con precedenti. C’è anche un ricercato - Il Notiziario @URL",0,ita
amh_a557f9051cda325df8150aa74008230d,#NewProfilePic አብይ የአማራን ህዝብ በማረድ ሱስ ከሆነበት አመታቶች አሰቁጠር በአማራ ደም የምትገነባው ሀገር እናያለን የንፁሀን እንባ አዞሮ ይደፋሀል አንት ካዲ,1,amh
hau_56e88eb5d87a83a4f12444861af9cd1e,shegu yan kutumar uba ##url,0,hau
spa_f92fccd0b86ab1196b1b97bc67c69867,yo me quedo con tiktok. tal vez sin tanto gringo mas bien mejora.,0,spa
deu_7624bcdedd3b415d27ef6b2db87a266f,Hattest du bevor das anfing COVID?,0,deu
arb_3d22be6f3478921922546da8bac205b2,"أكثر من 69 ضحية بينهم الشيخ العلوي شعبان منصور عمره 90 سنة قتلوا في سورية خلال يومين من قبل ""أهل السنة"" التكفيرين أعداء الاسلام",1,arb
zho_00ec5d23872a7748b6306e24ea443723,日日夜夜刷女神， 露脸疑似清朝人。 今日闻君直播语， 老当益壮属卿卿。哈哈哈哈哈哈哈哈,0,zho
spa_8ebbfc5c0c3f3664dc8a91bf656296a1,eeeee los visuals que esta sirviendo cierta indigena????,0,spa
hin_96e9a2e48ac811e088f4a33a54db5eca,कश्मीरी मुसलमानों को लेकर ये क्या बोल गए AIMIM चीफ असदुद्दीन ओवैसी? सरकार से कर दी बड़ी मांग Pahalgam Terror Attack: जम्मू-कश्मीर के पहलगाम में 22 अप्रैल को हुए आतंकवादी हमले में 26 पर्यटकों की गोली मारकर हत्या कर दी गई. इस अमानवीय हमले के बाद कश्मीर में रह रहे मुसलमानों ने इस घटना का खुलकर विरोध…,1,hin
